run,step,tag,value
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,177,train_acc,86.65999603271484
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,178,train_acc,86.5719985961914
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,179,train_acc,86.91199493408203
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,180,train_acc,86.68799591064453
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,181,train_acc,89.447998046875
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,182,train_acc,90.00199890136719
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,183,train_acc,90.16199493408203
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,184,train_acc,90.23799896240234
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,185,train_acc,90.46599578857422
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,186,train_acc,90.4739990234375
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,187,train_acc,90.66199493408203
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,188,train_acc,90.82999420166016
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,189,train_acc,90.93799591064453
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,190,train_acc,90.80599975585938
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,191,train_acc,91.03799438476562
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,192,train_acc,90.93799591064453
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,193,train_acc,91.05400085449219
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,194,train_acc,91.11000061035156
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,195,train_acc,91.093994140625
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,196,train_acc,91.2239990234375
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,197,train_acc,91.2719955444336
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,198,train_acc,91.33599853515625
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,199,train_acc,91.26799774169922
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,200,train_acc,91.32999420166016
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,201,train_acc,91.40799713134766
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,202,train_acc,91.33799743652344
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,203,train_acc,91.43599700927734
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,204,train_acc,91.5719985961914
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,205,train_acc,91.50999450683594
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,206,train_acc,91.61199951171875
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,207,train_acc,91.66199493408203
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,208,train_acc,91.80599975585938
